,店铺名称,store_id,所属品牌,店铺地址,营业时间,店铺电话,会员权益,店铺描述,店铺亮点,店铺评分,人均价格,适合就餐人数,适合场景,一级业态,二级业态,菜系,口味,辣度,设施,服务,环境,排队信息,店铺招牌,店铺图片,picture,
28,麦陌,84612,麦陌,郑州正弘城B1,10:00-22:00,18476395544,," 🍰麦陌 | 甜品脑袋的宝藏店铺

宝子们，发现一家超好吃的甜品店——麦陌🎉！他家装修简约又温馨，满满的ins风，拍照超好看📷。

人气单品可太多啦！他家的蛋糕胚松软绵密，奶油轻盈不腻。像[具体人气单品名称]，一口下去，幸福感爆棚😋！还有各种小甜点，造型精致，味道超赞👍。

麦陌很适合喜欢吃甜品的宝子们，不管是下午茶时光，还是和朋友小聚，来这儿都超合适🥰。每次去都要排队，可见有多受欢迎啦！快拉上小姐妹冲呀💃！ ",正弘中心面包蛋糕甜品热门榜·第2名,4.4,¥42/人,1-2人,"情侣,朋友,孩子",餐饮美食,面包甜点,甜品饮品 奶茶,甜,不辣,"有停车场,有WIFI,商场公共卫生间",可带宠物,"现代简约,中式典雅,安静",,,,,
29,九色云,84633,九色云·野生菌火锅,郑州正弘城L8,10:00-22:00,,,"🔥一口菌汤魂穿云南雨林！九色云野生菌火锅用墨脱石锅熬煮高山野菌+180天跑山鸡汤底，琥珀色原汤鲜到舌尖发颤🌿 菌子拼盘空运48小时直达餐桌，牛肝菌绵密吸汤，见手青脆嫩带毒（别慌！服务员像保镖盯15分钟沙漏⏳煮透防幻视）；宣威火腿焖饭刮锅底是灵魂，最后塞一口玉米粑粑冰淇淋，都市雨林穿越之旅圆满收尾！
📍隐藏暴击点：
✔️ 菌汤免费续，打包回家煮面香到邻居敲门！
✔️ 长沙店有「菌子博物馆」，等位变科普课～
#山野限定 #云南味觉朝圣 #美食硬核玩家
（📸朋友圈C位公式：蒸汽缭绕的墨脱锅+彩虹菌盘+沙漏特写=99+赞）",,,,"1-2人,3-4人","家人,朋友",餐饮美食,"火锅,食品滋补",菌汤火锅,"辣,酸辣",中辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","复古风,有卡座,等位区,安静",,,,,
30,老盐季,84635,老盐季,郑州正弘城B1,10:00-22:00,,," 一口老盐，解锁海岛风情🌴
宝子们，发现一家超有特色的店——老盐季！

他家主打各种老盐系列饮品，老盐柠檬、老盐芭乐等，独特风味超上头。店铺风格充满海岛度假感，装修像是把热带风情搬了进来，让人一秒穿越。

老盐柠檬是人气王，清爽酸甜，老盐味超独特。适合爱尝鲜、追求特别口感的宝子。逛累了来一杯，瞬间活力满满。不管是和朋友小聚还是自己享受，老盐季都超合适，快来感受这独特的海岛风味吧！ ",,,,1-2人,"情侣,朋友,孩子",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,可带宠物","现代简约,中式典雅,安静",,,,,
31,柠季,84637,柠季·手打柠檬茶,郑州正弘城L7,10:00-22:00,,,"🥤柠季来啦！超适合夏天的宝藏饮品店！

他家主打清爽的柠檬茶系列🍋，茶底清香，柠檬香气浓郁，一口下去超解腻！店铺风格简约又清新，装修很有特色，到处都是活力满满的柠檬元素。

人气单品鸭屎香柠檬茶，茶香和柠檬的清爽完美融合，喝一次就爱上！还有玫瑰柠檬茶，独特的玫瑰香气给饮品增添了别样风味。不管是逛街累了，还是上班困了，来柠季买上一杯，瞬间元气满满！超适合爱喝清爽饮品的宝子们，快冲！ ",,4.1,¥17/人,1-2人,"情侣,朋友,孩子",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,可带宠物","现代简约,中式典雅,安静",,,,,
32,兰熊鲜奶,84641,兰熊鲜奶,郑州正弘城B1,10:00-22:00,,,"🥛兰熊鲜奶来啦！

他家装修超可爱，满满ins风，拍照超好看📸。主打各种鲜奶饮品，原料超新鲜。人气单品雪顶幽兰，鲜奶搭配清爽茶底，再加上绵密雪顶，一口下去超满足😍。还有草莓牛乳炸弹，草莓果肉和鲜奶完美融合，甜而不腻。不管是学生党还是上班族，逛街累了来一杯，瞬间活力满满。约会的时候来上一杯，氛围感直接拉满💕。真的太爱兰熊鲜奶啦，宝子们一定要试试！ ",郑州美食打卡人去榜·第1名,4.1,¥17/人,1-2人,"情侣,朋友,一个人",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供,可带宠物","现代简约,靠窗,安静",,,,,
33,米缇尼,84646,MITINIS,郑州正弘城L8,10:00-22:00,13633822477,,"✨MITININIS｜一口跌进巧克力童话！郑州首家红宝石粉巧实验室，少女心原地核爆🍫
推开正弘城店门就被彩虹巧克力瀑布墙美疯！天然红宝石可可豆磨出樱花粉巧🌸，无色素添加却自带腮红滤镜，咬开脆壳是树莓流心爆浆～
🔥 必抢隐藏款：
✔️ 蒙特祖马黑巧：丹麦芝士+75%黑巧，咸苦碰撞像吃液体歌剧🎭
✔️ 土耳其榛仁球：榛子碎多到硌牙，丝滑感堪比德芙平替！
✔️ 春日樱花礼盒：粉巧雕成樱花形状，送闺蜜被夸“比潘多拉懂女人”💝
💸 薅秃攻略：
▫️ 4月店庆满108送限定礼盒（隔壁小姐姐换到腮红高光盘💄）
▫️ 下午2点前第二盒半价，打工人摸鱼也要冲！
📸 出片神位：
▪️ 举着粉巧对镜拍＝ins博主附体
▪️ 红宝石原料墙当背景＋开盒抓拍＝赞爆朋友圈",连锁店,4.1,¥50/人,1-2人,"情侣,家人,朋友",餐饮美食,面包甜点,"甜品饮品 奶茶,糕点",甜,不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供,可带宠物","现代简约,靠窗,安静",,,,,
34,湊湊,84649,湊湊火锅,郑州正弘城L8,10:00-22:00,15638279139,,宝子们，今天必须给你们种草湊湊！他家店风格超有特色，装修精致又温馨。主打台式火锅，锅底超赞，像招牌花胶鸡锅底，浓郁鲜香，满满胶原蛋白。人气单品有企鹅丸，Q 弹可爱，下锅煮后口感超棒。还有大红袍珍珠奶茶，茶香与奶香交融，珍珠软糯。适合爱尝鲜、追求独特用餐体验的宝子们。不管是朋友聚会还是家庭聚餐，来这都超合适！在湊湊，能享受一场美味又惬意的火锅盛宴，赶紧冲！ ,收录6年,4.7,¥102/人,"3-4人,4-6人,6-10人","情侣,家人,朋友",餐饮美食,火锅,"重庆火锅,海鲜火锅,鸳鸯锅","辣,咸鲜,酸辣",重辣,"有停车场,有包厢,有空调","扫码点餐,宝宝椅,儿童餐具,可带宠物","复古风,花园风,有卡座,景观位,包厢,商场餐厅",,,,,
35,DQ,84657,DQ,郑州正弘城L6,10:00-22:00,67127570,,"🍦DQ真的太绝啦！

他家的冰淇淋堪称一绝😍，暴风雪系列超受欢迎，各种口味的酱料和丰富配料，与浓郁醇厚的冰淇淋完美融合，口感层次超丰富。店铺装修简约时尚，蓝色调为主，很有夏日清凉感🧊。无论是小朋友还是大朋友，都对DQ毫无抵抗力🤩。逛街累了来上一杯，瞬间活力满满；约会的时候来一份，甜蜜值拉满💕。而且出餐速度快，服务也热情周到。总之，DQ就是那种能给人带来快乐和满足的宝藏甜品店，宝子们一定要去尝尝！ ",收录6年,4.3,¥22/人,1-2人,"情侣,家人,朋友",餐饮美食,"奶茶,面包甜点,茶饮果汁","冰淇淋,布丁,珍珠奶茶,双皮奶","甜,甜咸",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","现代简约,安静,商场餐厅",,,,,
36,瑞幸咖啡,84658,瑞幸咖啡,郑州正弘城L8,10:00-22:00,15003868593,,"☕瑞幸咖啡真的太懂打工人的心啦！

一进店，简约时尚的装修风格超吸睛✨ 开放式的空间，让人感觉格外舒适自在。

他们家的人气单品可太多啦！生椰拿铁🥥 椰香与咖啡香完美融合，每一口都超惊艳。还有厚乳拿铁，醇厚的口感让人欲罢不能。

不管是忙碌的早晨来一杯提神醒脑，还是午后想找个地方放松一下，瑞幸咖啡都超合适👍 价格亲民，品质在线，简直是上班族和咖啡爱好者的福音！宝子们，快去试试吧！ ",金冠好店,4.1,¥11/人,1-2人,"情侣,家人,朋友",餐饮美食,"奶茶,咖啡,茶饮果汁","布丁,咖啡茶馆 精品咖啡,手冲咖啡","甜,甜咸",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","现代简约,安静,商场餐厅",,,,,
37,兰湘子,84662,兰湘子·湘菜小炒,郑州正弘城L8,10:00-22:00,13523093708,,"😍宝子们，今天必须给你们种草兰湘子！

这是一家超有特色的湘菜馆🥢。店里装修很有韵味，满满的湘风元素，让人一进去就感觉特别亲切。

他们家主打湘菜，味道那叫一个绝👍！招牌辣椒炒肉，肉香四溢，辣椒超级下饭。还有剁椒鱼头，鱼肉鲜嫩，剁椒超入味。

适合喜欢吃辣的宝子们聚会聚餐🎉。服务员态度也超热情，点菜会给合理建议。每次去都人超多，人气爆棚🔥。真心推荐给各位湘菜爱好者，保证吃一次就爱上！ ",金水区湘菜口味榜·第4名,4.8,¥49/人,"1-2人,3-4人,4-6人","情侣,家人,朋友",餐饮美食,湘菜,"湘菜,家常私厨","咸鲜,甜咸,酸辣",微辣,"有停车场,有空调,有WIFI,商场公共卫生间","扫码点餐,无障碍洗手间,宝宝椅","现代简约,等位区,商场餐厅",,,,,
38,胡子大厨,84664,胡子大厨·湖南小炒,郑州正弘城L8,10:00-22:00,无电话,," 🍱打工人干饭新宠 | 胡子大厨

最近发现一家超棒的工作餐小店👉胡子大厨！

他家是明厨亮灶，能看到后厨师傅现炒，超安心！

主打现炒快餐，像辣椒炒肉盖饭，辣椒香肉嫩，米饭粒粒分明，超好吃😋 还有梅干菜烧肉饭也绝绝子，梅干菜吸饱了肉香，一口下去超满足！

店铺装修简约明亮✨ 很适合上班族来解决工作餐。出餐速度超快，再也不用纠结吃啥啦！无论是忙碌的工作日午餐，还是加班后的晚餐，胡子大厨都能完美满足，宝子们快去试试！ ",金水区湘菜热门榜·第5名,4.4,¥52/人,"1-2人,3-4人,4-6人","情侣,家人,朋友",餐饮美食,湘菜,"湘菜,家常私厨","咸鲜,甜咸,酸辣",微辣,"有停车场,有空调,有WIFI,商场公共卫生间","纸巾提供,无障碍洗手间,宝宝椅","有卡座,安静,商场餐厅",,,,,
39,uniboba,84666,优尼波巴,郑州正弘城B1,10:00-22:00,15093123650,,"优尼波巴｜茉酸奶亲儿子搞“牛乳黑魔法”！XXL珍珠吸溜到地铁站口都能听见👂💥
推开正弘城店门直接惊呆——巨型黑糖珍珠像“波霸陨石”咣当砸进杯！娟姗牛乳打底香到舔盖，水牛乳版浓如融化冰淇淋🍨，吸管戳下去糯叽叽能拉丝半米！
✨ 暗号点单攻略：
✔️ 黑糖火山牛乳：仙草珍珠塞满半杯，黑糖挂壁像琥珀纹身🌋
✔️ 咸法酪隐藏款：撒海苔粉的抹茶咸酪，海盐激出回甘鲜甜💥
✔️ 自带杯减2元：环保还能白嫖杯套（手账er狂喜📒）
📍 郑州暴风吸入点：正弘城B1｜10:00打烊
⏰ 薅秃时刻：下午2点前第二杯半价，打工人摸鱼暗号！",金水区茶饮果汁好评榜·第2名,4.3,¥17/人,1-2人,"情侣,家人,朋友",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,冰淇淋,布丁","甜,甜咸,酸甜",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","扫码点餐,导盲犬友好,可带宠物","复古风,花园风,浪漫,亲子友好,商场餐厅",,,,,
40,一绪寿喜烧,84667,一绪仁和牛寿喜烧,郑州正弘城L7,10:00-22:00,13598032554,,"宝子们，今天必须给你们种草一绪寿喜烧🎉！

店里装修超有氛围感，暖黄色灯光，木质桌椅，让人感觉温馨又舒适😌。

它家主打寿喜烧，各种新鲜食材在锅里一涮，裹上蛋液，那口感绝了😍！人气单品毛肚脆嫩，牛肉纹理清晰，品质超棒👍。

不管是情侣约会、朋友聚餐还是家庭聚会，来这都超合适🥳。服务员态度也超好，全程贴心服务。在这能尽情享受美食带来的快乐，性价比超高，宝子们赶紧冲呀🐛！ ",金水区自助餐热门榜,4.1,¥158/人,"3-4人,4-6人,6-10人","情侣,家人,朋友",餐饮美食,"火锅,烧烤烤肉,自助餐","自助烧烤,烧烤自助","咸鲜,酸辣",中辣,"有停车场,有包厢,有空调,有WIFI,有大桌","宝宝椅,可在线预定","等位区,包厢,放松随意,商场餐厅",,,,,
41,连杏,84668,连杏双皮奶,郑州正弘城B1,10:00-22:00,无电话,,"郑州正弘城惊现双皮奶刺客！连杏用顺德古法娟姗牛乳暴击味蕾💥
推开B1层门店就被奶香勾魂！金榜双皮奶结出三层绸缎奶皮，勺子一碰Duang到心颤～红豆款蜜豆熬出沙堆成山⛰️，杨枝金捞爆汁芒果金柚撞上西米露💦，鲜芒款果肉多到盖住奶冻！更绝是现烤焦糖黄油蛋挞——128层酥皮簌簌掉渣，内馅冷藏秒变冰淇淋芝士🍦，店员举喷枪炙烤焦糖脆壳的瞬间香晕整条街！
✨隐藏暴击点：
✔️ 娟姗牛乳制作（全国仅0.1%奶源！）
✔️ 下午4点后半价捡漏蛋挞（限量200个⚡️）
✔️ 玻璃罐装双皮奶吃完当收纳瓶♻️",郑州面包蛋糕甜品打卡人气榜·第1名,4.3,¥20/人,"1-2人,3-4人","情侣,朋友,一个人",餐饮美食,"奶茶,茶饮果汁","冰淇淋,布丁,双皮奶",甜,不辣,"有停车场,商场公共卫生间","扫码点餐,纸巾提供","放松随意,高端典雅,商场餐厅",,,,,
42,麦焙乐,84670,麦焙乐,郑州正弘城B1,10:00-22:00,无电话,,🎂麦焙乐真的超赞！一进店，就能感受到温馨的烘焙氛围。店铺装修简约又可爱，到处都是诱人的面包香气🥐。他家主打各类现烤面包，每一款都超有料！人气单品全麦核桃面包，外皮酥脆，内馅扎实，核桃香和麦香完美融合，吃起来超满足😋。还有各种造型可爱的小蛋糕，颜值高又美味。无论是早餐想快速解决，还是下午茶想小资一把，麦焙乐都超合适。上班族、学生党，爱吃面包甜品的宝子们一定不要错过，快来麦焙乐开启美味烘焙之旅吧！ ,,3.9,¥22/人,"1-2人,3-4人","情侣,朋友,一个人",餐饮美食,面包甜点,"布丁,糕点",甜,不辣,"有停车场,有空调,商场公共卫生间","导盲犬友好,可带宠物","现代简约,景观位,商场餐厅",,,,,
43,南京大牌档,84672,南京大牌档,郑州正弘城L8,10:00-22:00,17778041526,," 南京大牌档 | 一秒穿越金陵✨
宝子们，南京大牌档必须冲！一进店，古色古香的装修超有氛围感，木质桌椅、红灯笼🏮 仿佛置身老南京。

他们家主打南京特色美食，美龄粥香甜细腻，江米扣肉肥而不腻。招牌盐水鸭咸香可口，金陵烤鸭皮脆肉嫩。

适合和家人朋友聚餐。服务员都穿着古装，服务超贴心。每次去都要排队，但真的值得！无论是环境还是菜品，都绝绝子，狠狠拿捏住了咱的胃和心，来南京一定要来这儿感受正宗南京味！ ",郑州江浙菜打卡人气榜·第1名,4.6,¥68/人,"3-4人,4-6人,6-10人,10人以上","情侣,家人,朋友,同事,客户",餐饮美食,江浙菜,"江浙菜,南京菜","咸鲜,甜咸,酸辣",不辣,"有停车场,有包厢,有空调,有WIFI,有大桌","自助结账,免费热水,纸巾提供,宝宝椅","包厢,安静,商场餐厅",,,,,
44,益禾堂,84675,益禾堂,郑州正弘城B1,10:00-22:00,15978420710,,"😍宝子们，益禾堂必须安利！

它家门店装修简约清新，超有氛围感✨。主打各类特色茶饮，像招牌烤奶，茶香浓郁，奶味醇厚，一口就爱上。还有薄荷奶绿，清爽解腻，夏天来一杯超爽。

人气单品多多，比如益禾烤奶，珍珠 Q 弹，烤奶香气独特，好多人都爱这一口。

适合学生党、上班族等各种人群，逛街累了、学习工作困了，来一杯瞬间活力满满💪。随时随地享受美味茶饮，真的超赞，赶紧冲呀！ ",收录4年,4.1,¥11/人,"1-2人,3-4人","情侣,朋友,一个人",餐饮美食,"奶茶,茶饮果汁","冰淇淋,布丁,双皮奶",甜,不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供,无障碍通道,可带宠物","明亮,放松随意,高端典雅,商场餐厅",,,,,
45,唐糕祖,84677,唐糕祖,郑州正弘城B1,10:00-22:00,,,"🥰宝子们，一定要来试试唐糕祖！

他家主打传统中式糕点，店铺风格古色古香，装修超有韵味，一进去就感觉穿越到了古代糕点铺🎐。

人气单品超多，像雪花酥，香甜酥脆，一口一个满足；还有蛋黄酥，咸香的蛋黄搭配软糯的外皮，绝绝子😍。

适合喜欢传统糕点的宝子们，无论是当早餐还是下午茶都超合适。每一款糕点都做得超精致，口感更是没得说，吃一次就爱上，每次路过都忍不住买上一些带回家~😋 ",正弘中心面包蛋糕甜品打卡人气榜·第2名,4.3,¥30/人,"1-2人,3-4人","情侣,家人,孩子",餐饮美食,面包甜点,糕点,"甜,咸鲜,酸甜",不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供","中式典雅,有卡座,靠窗",,,,,
46,瑞幸咖啡,84678,瑞幸咖啡 ‌,郑州正弘城B1,10:00-22:00,13683816784,,"☕瑞幸咖啡真的太懂打工人的心啦！

他家门店装修简约又时尚✨，一进去就能感受到超浓郁的咖啡香气。

主打产品超多，生椰拿铁必须拥有姓名🥥！椰香与咖啡完美融合，口感层次丰富，一口就爱上。还有厚乳拿铁，醇厚丝滑，每一口都超满足。

不管是上班族来一杯提神醒脑，还是学生党课间来一杯补充能量，都再合适不过啦。随时随地来瑞幸，享受美味咖啡带来的小确幸~😍 瑞幸咖啡 咖啡种草 ",收录6年,4.4,¥15/人,1-2人,"情侣,家人,朋友",餐饮美食,"奶茶,咖啡,茶饮果汁","布丁,咖啡茶馆 精品咖啡,手冲咖啡","甜,甜咸",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","现代简约,安静,商场餐厅",,,,,
47,就是柠,84682,YesLemin,郑州正弘城B1,10:00-22:00,,,"🥤宝子们，一定要来试试“就是柠”！

这店装修超有特色，满满的清新风，让人一进去就心情超好。

他家主打各种鲜柠茶，每一杯都是现点现做。招牌柠茶，柠檬香气浓郁，茶底清爽，喝一口超解腻。

人气单品爆打渣男柠檬茶，名字有趣又好喝。店员超热情，制作过程还能看到新鲜柠檬被“暴打”，超解压。

不管是逛街累了，还是想找个地方坐坐，来这喝杯柠茶都超合适。学生党、上班族都爱，快冲！ ",新店好评,4,¥16/人,1-2人,"情侣,家人,朋友",餐饮美食,茶饮果汁,"甜品饮品 奶茶,糖水","酸,甜,酸甜",不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供","等位区,明亮,商场餐厅",,,,,
48,嘉士利,84683,BUTTER&COOKIE,郑州正弘城B1,10:00-22:00,,," 嘉士利 | 童年零食回忆杀✨
宝子们，嘉士利必须安利！他家是超有年代感的零食店😎。店铺装修走复古风，满满怀旧氛围。主打饼干、糕点等零食，味道超正👍。像他家的果乐果香饼干，果香浓郁，口感酥脆，一口一个停不下来。还有葱香薄饼，咸香酥脆，追剧必备。无论是咱80、90后找童年味道，还是带娃👶🏻来，都超合适。每次去都忍不住囤一堆，真心是零食爱好者的天堂，快来尝尝吧！ ",正弘中心面包蛋糕甜品热门榜·第3名,3.7,¥44/人,"1-2人,3-4人","情侣,家人,孩子",餐饮美食,面包甜点,甜品饮品 奶茶,"甜,咸鲜",不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供",商场餐厅,,,,,
49,泰芮珠打抛饭,84686,泰芮珠打抛饭,郑州正弘城B1,10:00-22:00,,,宝子们，今天必须给你们种草泰芮珠打抛饭！一进店，满满的东南亚风情装修就超吸睛，仿佛一秒穿越。他家主打泰式打抛饭，味道超正宗！鸡肉鲜嫩多汁，搭配独特的打抛酱，米饭粒粒分明，裹满酱汁简直绝了。还有各种泰式小吃也超赞。适合喜欢尝鲜、钟情东南亚风味的宝子们。无论是一人食还是和朋友聚餐，来这吃一顿泰芮珠打抛饭，都能让味蕾享受一场热辣刺激的盛宴，保证你吃了一次就忘不了，赶紧冲！ ,金水区小吃快餐热门榜·第1名,4,¥33/人,"1-2人,3-4人","情侣,家人,朋友,孩子",餐饮美食,小吃快餐,东南亚料理 泰国菜,"咸鲜,酸辣",微微辣,"有停车场,有空调,有WIFI","宝宝椅,儿童餐具","花园风,有卡座,商场餐厅",,,,,
50,满巍明,84687,满巍明生炸鸡架,郑州正弘城B1,10:00-22:00,16668112992,," 🌶️满巍明，一口辣出幸福感🌶️

宝子们，一定要来满巍明尝尝！他家主打各种特色辣卤小吃，店铺风格超有个性，装修得红红火火，特别吸睛。

人气单品麻辣鸭脖，肉质紧实有嚼劲，辣得过瘾又上头；虎皮凤爪一抿脱骨，满满的胶原蛋白。而且食材都超新鲜，卤料味道超赞。不管你是无辣不欢的吃货，还是想找独特风味小吃的宝子，这里都太合适啦！每次路过都忍不住买上一份，边走边吃，简直美滋滋😋。 ",,4.1,¥28/人,"1-2人,3-4人","情侣,家人,朋友",餐饮美食,小吃快餐,"炸串,炸鸡炸串","咸,辣,酸甜",微辣,"有停车场,有空调,有WIFI","纸巾提供,无障碍洗手间","花园风,有卡座,放松随意,商场餐厅",,,,,
51,霸王茶姬,84688,霸王茶姬,郑州正弘城L1,10:00-22:00,15729382905,,宝子们，一定要来试试霸王茶姬呀！他家装修超有特色，新中式风格超吸睛，随手一拍都很出片📷。主打茶饮，茶香与奶味完美融合，口感超赞。像伯牙绝弦，入口清爽，茶味悠长；声声乌龙，香气馥郁，韵味十足。人气超高，每次去都要排队。不管是逛街累了，还是朋友小聚，来一杯都超合适。学生党、上班族都爱这一口，真的太好喝啦，喝过就忘不了，妥妥的奶茶界宝藏店铺，赶紧冲！ ,郑州茶饮 果汁打卡人气榜·第3名,4.6,¥18/人,"1-2人,3-4人","情侣,家人,朋友",餐饮美食,茶饮果汁,"甜品饮品 奶茶,冰淇淋,珍珠奶茶","酸,甜,酸甜",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","纸巾提供,可在线预定","现代简约,有卡座,安静,明亮",,,,,
52,鲍师傅糕点,84819,鲍师傅糕点,郑州正弘城B1,10:00-22:00,17737143606,,"🥰宝子们，一定要去试试鲍师傅糕点呀！

他家的糕点那叫一个绝！小贝系列超人气，松软的蛋糕体裹着香甜的沙拉酱和肉松，一口下去超满足😋。海苔肉松小贝咸香可口，一口咬到肉松和沙拉酱，口感丰富得很。

店铺装修简约明亮✨，让人看着就很舒服。

无论是当早餐还是下午茶点心，鲍师傅糕点都超合适。上班族、学生党，还有爱吃甜食的宝子们，都别错过！每次路过鲍师傅，都忍不住买上几个，真的太好吃啦😍！ ",正弘中心面包蛋糕甜品好评榜·第4名,4.2,¥30/人,1-2人,"情侣,朋友,孩子",餐饮美食,面包甜点,"甜品饮品 奶茶,糕点","酸,甜,酸甜",不辣,"有停车场,有空调,有WIFI,商场公共卫生间","纸巾提供,可带宠物,可在线预定","中式典雅,明亮,浪漫,商场餐厅",,,,,
